Year,10+,20+,30+,40+,50+,60+,70+,80+,90+
2010F,895,4550,3663,3167,2429,1104,435,178,103
2010M,1409,5612,5122,4786,3644,1580,564,224,370
2011F,1093,4735,3744,3087,2333,1157,412,167,149
2011M,2192,5691,5223,4854,3721,1627,547,223,523
2012F,1002,4864,3751,3222,2266,1230,426,187,132
2012M,2192,5689,5089,4733,3655,1683,627,197,624
2013F,990,4648,3651,2989,2292,1175,407,142,120
2013M,2207,5625,5015,4538,3707,1736,602,212,578
2014F,1007,4983,3896,3173,2468,1195,433,153,90
2014M,2178,5893,5279,4597,3785,1818,671,225,458
2015F,1110,5490,4199,3328,2608,1382,477,166,101
2015M,2492,6554,5897,4918,4277,2056,720,204,604
2016F,1075,5807,4802,3517,2891,1590,527,156,110
2016M,2451,7176,6677,5303,4499,2248,777,229,522
2017F,1018,5811,4913,3650,2841,1611,557,171,130
2017M,2452,7164,6872,5432,4718,2413,823,252,596
2018F,786,4486,3973,2934,2369,1305,500,127,80
2018M,1968,5825,5730,4299,3831,2036,683,208,416
