city,morning_peak,evening_peak,daytime,nighttime,total
Alhambra,1,4,2,3,3
Arcadia,2,1,2,2,1
Beverly Hills,1,2,3,4,2790
Burbank,1,2,3,4,1121
Canoga Park,2,1,3,4,9286
Chatsworth,1,2,3,4,314
Compton,2,2,2,1,1
Covina,1,2,2,4,5
Culver City,2,1,3,4,1119
Downey,2,2,1,2,27
Duarte,2,1,3,3,6
El Segundo,1,3,2,4,357
Encino,1,2,3,4,4220
Gardena,2,1,3,4,1955
Glendale,2,1,3,4,1090
Glendora,1,3,3,2,2
Granada Hills,2,1,3,4,3430
Harbor City,1,2,3,4,2304
Hawthorne,1,3,3,2,2
Hermosa Beach,2,1,4,3,18
Huntington Park,3,3,1,2,2
Inglewood,1,2,3,4,3567
La Crescenta,2,1,3,4,951
La Puente,4,1,2,3,3
Lancaster,3,3,1,2,2
Lomita,1,3,2,4,408
Long Beach,2,1,4,3,476
Los Angeles,2,1,3,4,253070
Lynwood,2,2,1,2,1
Manhattan Beach,1,2,3,4,29
Marina Del Rey,2,1,3,4,1199
Mission Hills,2,1,3,4,3042
Monrovia,2,2,2,1,1
Newhall,1,2,3,4,58
North Hills,2,1,3,4,6545
North Hollywood,2,1,3,4,19375
Northridge,2,1,3,4,11891
Pacific Palisades,3,1,2,4,766
Pacoima,2,1,3,4,6020
Palmdale,4,1,2,3,6
Palos Verdes Peninsula,3,3,1,2,2
Panorama City,2,1,3,4,7179
Paramount,2,1,3,4,32
Pasadena,4,1,2,3,7
Pico Rivera,2,2,2,1,2
Playa Del Rey,1,2,3,4,989
Playa Vista,1,2,3,4,1648
Pomona,4,3,1,2,14
Porter Ranch,2,1,3,4,1531
Redondo Beach,1,3,3,2,2
Reseda,2,1,3,4,7516
San Dimas,2,2,1,2,1
San Fernando,2,1,3,4,3658
San Pedro,2,1,3,4,6339
Santa Monica,2,1,3,4,5521
Sherman Oaks,1,2,3,4,7018
Signal Hill,2,2,2,1,2
South Pasadena,2,1,3,4,220
Studio City,2,1,3,4,1995
Sun Valley,1,2,3,4,1436
Sunland,2,1,3,4,2137
Sylmar,2,1,3,4,1605
Tarzana,1,2,3,4,3476
Topanga,1,1,1,1,8
Torrance,2,1,3,4,1309
Universal City,2,1,3,4,1428
Valley Village,1,2,3,4,3448
Van Nuys,2,1,3,4,22502
Venice,3,1,2,4,4117
West Covina,2,2,2,1,1
West Hills,2,1,3,4,182
West Hollywood,2,1,3,4,1293
Whittier,1,3,3,2,2
Wilmington,2,1,3,4,4715
Winnetka,2,1,3,4,6053
Woodland Hills,2,1,3,4,5543
